#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.311	32.4208	vertebrates, human	 1:KJ919334.1;  2:KJ919442.1;  3:KJ919547.1;  4:KJ919652.1;  5:KJ918812.1;  6:KJ919757.1;  7:KJ919022.1;  8:KJ918917.1;  9:KJ919920.1;  10:KJ919127.1;  11:KJ919232.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.397	32.4362	vertebrates, human	 1:KJ919335.1;  2:KJ919443.1;  3:KJ919548.1;  4:KJ919653.1;  5:KJ918813.1;  6:KJ919758.1;  7:KJ919023.1;  8:KJ918918.1;  9:KJ919862.1;  10:KJ919128.1;  11:KJ919233.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266447.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	39.355	37	-	AP013420.1	-	57	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	33.8	46.3	-	AP013421.1	-	44	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266448.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.4006	vertebrates, human	 1:KJ919336.1;  2:KJ919444.1;  3:KJ919549.1;  4:KJ919654.1;  5:KJ918814.1;  6:KJ919759.1;  7:KJ919024.1;  8:KJ918919.1;  9:KJ919863.1;  10:KJ919129.1;  11:KJ919234.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.409	34.8277	vertebrates, human	 1:KJ919337.1;  2:KJ919445.1;  3:KJ919550.1;  4:KJ919655.1;  5:KJ918815.1;  6:KJ919760.1;  7:KJ919025.1;  8:KJ918920.1;  9:KJ919864.1;  10:KJ919130.1;  11:KJ919235.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266449.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	33.654	32.7	-	AP013422.1	-	48	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	33.719	32.7	-	AP013423.1	-	47	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266450.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.3387	vertebrates, human	 1:KJ919338.1;  2:KJ919446.1;  3:KJ919551.1;  4:KJ919656.1;  5:KJ918816.1;  6:KJ919761.1;  7:KJ919026.1;  8:KJ918921.1;  9:KJ919865.1;  10:KJ919131.1;  11:KJ919236.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.397	31.9753	vertebrates, human	 1:KJ919339.1;  2:KJ919447.1;  3:KJ919552.1;  4:KJ919657.1;  5:KJ918817.1;  6:KJ919762.1;  7:KJ919027.1;  8:KJ918922.1;  9:KJ919866.1;  10:KJ919132.1;  11:KJ919237.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266451.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	33.38	35.2	-	AP013424.1	-	46	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	37.523	32.4	-	AP013427.1	-	59	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266452.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.442	31.4302	vertebrates, human	 1:KJ919340.1;  2:KJ919448.1;  3:KJ919553.1;  4:KJ919658.1;  5:KJ918818.1;  6:KJ919763.1;  7:KJ919028.1;  8:KJ918923.1;  9:KJ919867.1;  10:KJ919133.1;  11:KJ919238.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.279	31.337	vertebrates, human	 1:KJ919341.1;  2:KJ919449.1;  3:KJ919554.1;  4:KJ919659.1;  5:KJ918819.1;  6:KJ919764.1;  7:KJ919029.1;  8:KJ918924.1;  9:KJ919868.1;  10:KJ919134.1;  11:KJ919239.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266453.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	37.26	32.4	-	AP013428.1	-	58	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	36.215	32.2	-	AP013429.1	-	63	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266454.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	18.492	32.394	vertebrates, human	 1:JF766600.1;  2:JF766601.1;  3:JF766602.1;  4:JF766603.1;  5:JF766595.1;  6:JF766604.1;  7:JF766597.1;  8:JF766596.1;  9:JF766605.1;  10:JF766598.1;  11:JF766599.1	-	11	2011/09/19	2013/08/08	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.3058	vertebrates, human	 1:KJ919342.1;  2:KJ919450.1;  3:KJ919555.1;  4:KJ919660.1;  5:KJ918820.1;  6:KJ919765.1;  7:KJ919030.1;  8:KJ918925.1;  9:KJ919869.1;  10:KJ919135.1;  11:KJ919240.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266455.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	33.98	32.4	-	AP013430.1	-	57	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	33.433	35.3	-	AP013431.1	-	55	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266456.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.344	32.43	vertebrates, human	 1:KJ919343.1;  2:KJ919451.1;  3:KJ919556.1;  4:KJ919661.1;  5:KJ918821.1;  6:KJ919766.1;  7:KJ919031.1;  8:KJ918926.1;  9:KJ919870.1;  10:KJ919136.1;  11:KJ919241.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.3146	vertebrates, human	 1:KJ919344.1;  2:KJ919452.1;  3:KJ919557.1;  4:KJ919662.1;  5:KJ918822.1;  6:KJ919767.1;  7:KJ919032.1;  8:KJ918927.1;  9:KJ919871.1;  10:KJ919137.1;  11:KJ919242.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266457.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	32.358	37.1	-	AP013432.1	-	45	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	33.438	33.9	-	AP013433.1	-	46	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266458.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.442	31.2908	vertebrates, human	 1:KJ919345.1;  2:KJ919453.1;  3:KJ919558.1;  4:KJ919663.1;  5:KJ918823.1;  6:KJ919768.1;  7:KJ919033.1;  8:KJ918928.1;  9:KJ919872.1;  10:KJ919138.1;  11:KJ919243.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.435	31.3794	vertebrates, human	 1:KJ919346.1;  2:KJ919454.1;  3:KJ919559.1;  4:KJ919664.1;  5:KJ918824.1;  6:KJ919769.1;  7:KJ919034.1;  8:KJ918929.1;  9:KJ919873.1;  10:KJ919139.1;  11:KJ919244.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266459.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	33.848	34	-	AP013434.1	-	55	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	38.286	32.6	-	AP013436.1	-	73	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266460.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.3968	vertebrates, human	 1:KJ919347.1;  2:KJ919455.1;  3:KJ919560.1;  4:KJ919665.1;  5:KJ918825.1;  6:KJ919770.1;  7:KJ919035.1;  8:KJ918930.1;  9:KJ919874.1;  10:KJ919140.1;  11:KJ919245.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.433	31.3032	vertebrates, human	 1:KJ919348.1;  2:KJ919456.1;  3:KJ919561.1;  4:KJ919666.1;  5:KJ918826.1;  6:KJ919771.1;  7:KJ919036.1;  8:KJ918931.1;  9:KJ919875.1;  10:KJ919141.1;  11:KJ919246.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266461.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	38.257	33.3	-	AP013437.1	-	68	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	39.689	33.9	-	AP013438.1	-	69	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266462.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.3105	vertebrates, human	 1:KJ919349.1;  2:KJ919457.1;  3:KJ919562.1;  4:KJ919667.1;  5:KJ918827.1;  6:KJ919772.1;  7:KJ919037.1;  8:KJ918932.1;  9:KJ919876.1;  10:KJ919142.1;  11:KJ919247.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.424	31.2986	vertebrates, human	 1:KJ919350.1;  2:KJ919458.1;  3:KJ919563.1;  4:KJ919668.1;  5:KJ918828.1;  6:KJ919773.1;  7:KJ919038.1;  8:KJ918933.1;  9:KJ919877.1;  10:KJ919143.1;  11:KJ919248.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266463.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	35.581	35.6	-	AP013439.1	-	61	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	34.607	33.6	-	AP013440.1	-	59	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266464.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.3116	vertebrates, human	 1:KJ919351.1;  2:KJ919459.1;  3:KJ919564.1;  4:KJ919669.1;  5:KJ918829.1;  6:KJ919774.1;  7:KJ919039.1;  8:KJ918934.1;  9:KJ919878.1;  10:KJ919144.1;  11:KJ919249.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	18.257	32.4117	vertebrates, human	 1:KX171510.1;  2:KX171522.1;  3:KX171534.1;  4:KX171546.1;  5:KX171450.1;  6:KX171558.1;  7:KX171474.1;  8:KX171462.1;  9:KX171570.1;  10:KX171486.1;  11:KX171498.1	11	11	2017/01/15	2017/01/15	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266465.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	36.71	31.6	-	AP013441.1	-	55	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	39.86	32.4	-	AP013442.1	-	80	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266466.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.278	31.343	vertebrates, human	 1:KJ919352.1;  2:KJ919460.1;  3:KJ919565.1;  4:KJ919670.1;  5:KJ918830.1;  6:KJ919775.1;  7:KJ919040.1;  8:KJ918935.1;  9:KJ919879.1;  10:KJ919145.1;  11:KJ919250.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.442	31.2923	vertebrates, human	 1:KJ919353.1;  2:KJ919461.1;  3:KJ919566.1;  4:KJ919671.1;  5:KJ918831.1;  6:KJ919776.1;  7:KJ919041.1;  8:KJ918936.1;  9:KJ919880.1;  10:KJ919146.1;  11:KJ919251.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266467.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	37.952	32.1	-	AP013444.1	-	64	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	38.622	30.9	-	AP013445.1	-	67	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266468.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.3694	vertebrates, human	 1:KJ919354.1;  2:KJ919462.1;  3:KJ919567.1;  4:KJ919672.1;  5:KJ918832.1;  6:KJ919777.1;  7:KJ919042.1;  8:KJ918937.1;  9:KJ919881.1;  10:KJ919147.1;  11:KJ919252.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.438	31.3727	vertebrates, human	 1:KJ919355.1;  2:KJ919463.1;  3:KJ919568.1;  4:KJ919673.1;  5:KJ918833.1;  6:KJ919778.1;  7:KJ919043.1;  8:KJ918938.1;  9:KJ919882.1;  10:KJ919148.1;  11:KJ919253.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266469.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	32.224	38.1	-	AP013446.1	-	43	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	32.109	38	-	AP013447.1	-	44	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266470.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.418	31.3482	vertebrates, human	 1:KJ919356.1;  2:KJ919464.1;  3:KJ919569.1;  4:KJ919674.1;  5:KJ918834.1;  6:KJ919779.1;  7:KJ919044.1;  8:KJ918939.1;  9:KJ919883.1;  10:KJ919149.1;  11:KJ919254.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.386	31.3971	vertebrates, human	 1:KJ919357.1;  2:KJ919465.1;  3:KJ919570.1;  4:KJ919675.1;  5:KJ918835.1;  6:KJ919815.1;  7:KJ919045.1;  8:KJ918940.1;  9:KJ919884.1;  10:KJ919150.1;  11:KJ919255.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266471.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	32.115	38	-	AP013448.1	-	43	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	31.277	38.1	-	AP013449.1	-	41	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266472.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.419	31.3591	vertebrates, human	 1:KJ919358.1;  2:KJ919466.1;  3:KJ919571.1;  4:KJ919676.1;  5:KJ918836.1;  6:KJ919780.1;  7:KJ919046.1;  8:KJ918941.1;  9:KJ919885.1;  10:KJ919151.1;  11:KJ919256.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.438	31.3161	vertebrates, human	 1:KJ919359.1;  2:KJ919467.1;  3:KJ919572.1;  4:KJ919677.1;  5:KJ918837.1;  6:KJ919781.1;  7:KJ919047.1;  8:KJ918942.1;  9:KJ919886.1;  10:KJ919152.1;  11:KJ919257.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266473.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	31.599	38.4	-	AP013450.1	-	42	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	32.174	37.5	-	AP013451.1	-	47	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266474.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.382	vertebrates, human	 1:KJ919360.1;  2:KJ919468.1;  3:KJ919573.1;  4:KJ919678.1;  5:KJ918838.1;  6:KJ919782.1;  7:KJ919048.1;  8:KJ918943.1;  9:KJ919887.1;  10:KJ919153.1;  11:KJ919258.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.397	32.4296	vertebrates, human	 1:KJ919361.1;  2:KJ919469.1;  3:KJ919574.1;  4:KJ919679.1;  5:KJ918839.1;  6:KJ919783.1;  7:KJ919049.1;  8:KJ918944.1;  9:KJ919888.1;  10:KJ919154.1;  11:KJ919259.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266475.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	32.153	38.1	-	AP013452.1	-	42	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	36.835	32.4	-	AP013453.1	-	66	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266476.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	18.257	32.4633	vertebrates, human	 1:KX171511.1;  2:KX171523.1;  3:KX171535.1;  4:KX171547.1;  5:KX171451.1;  6:KX171559.1;  7:KX171475.1;  8:KX171463.1;  9:KX171571.1;  10:KX171487.1;  11:KX171499.1	11	11	2017/01/15	2017/01/15	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.3904	vertebrates, human	 1:KJ919362.1;  2:KJ919470.1;  3:KJ919575.1;  4:KJ919680.1;  5:KJ918840.1;  6:KJ919784.1;  7:KJ919050.1;  8:KJ918945.1;  9:KJ919889.1;  10:KJ919155.1;  11:KJ919260.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266477.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	36.284	32.7	-	AP013455.1	-	52	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	35.468	34.8	-	AP013456.1	-	64	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266478.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.397	32.4104	vertebrates, human	 1:KJ919363.1;  2:KJ919471.1;  3:KJ919576.1;  4:KJ919681.1;  5:KJ918841.1;  6:KJ919785.1;  7:KJ919051.1;  8:KJ918946.1;  9:KJ919890.1;  10:KJ919156.1;  11:KJ919261.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.368	32.4065	vertebrates, human	 1:KJ919364.1;  2:KJ919472.1;  3:KJ919605.1;  4:KJ919682.1;  5:KJ918842.1;  6:KJ919786.1;  7:KJ919052.1;  8:KJ918947.1;  9:KJ919891.1;  10:KJ919157.1;  11:KJ919262.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266479.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	38.351	34.3	-	AP013457.1	-	58	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	36.898	34.2	-	AP013458.1	-	69	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266480.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.397	32.4352	vertebrates, human	 1:KJ919365.1;  2:KJ919473.1;  3:KJ919577.1;  4:KJ919683.1;  5:KJ918843.1;  6:KJ919787.1;  7:KJ919053.1;  8:KJ918948.1;  9:KJ919892.1;  10:KJ919158.1;  11:KJ919263.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.397	32.4156	vertebrates, human	 1:KJ919366.1;  2:KJ919474.1;  3:KJ919578.1;  4:KJ919684.1;  5:KJ918844.1;  6:KJ919788.1;  7:KJ919054.1;  8:KJ918949.1;  9:KJ919893.1;  10:KJ919159.1;  11:KJ919264.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266481.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	38.825	32.2	-	AP013459.1	-	61	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	39.004	33.6	-	AP013460.1	-	59	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266482.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.39	vertebrates, human	 1:KJ919367.1;  2:KJ919475.1;  3:KJ919579.1;  4:KJ919685.1;  5:KJ918845.1;  6:KJ919789.1;  7:KJ919055.1;  8:KJ918950.1;  9:KJ919894.1;  10:KJ919160.1;  11:KJ919265.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.39	32.3796	vertebrates, human	 1:KJ919368.1;  2:KJ919476.1;  3:KJ919580.1;  4:KJ919686.1;  5:KJ918846.1;  6:KJ919790.1;  7:KJ919056.1;  8:KJ918951.1;  9:KJ919895.1;  10:KJ919161.1;  11:KJ919266.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266483.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	37.729	40.1	-	AP013462.1	-	61	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	37.449	40.1	-	AP013463.1	-	60	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266484.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.439	31.382	vertebrates, human	 1:KJ919369.1;  2:KJ919477.1;  3:KJ919581.1;  4:KJ919687.1;  5:KJ918847.1;  6:KJ919791.1;  7:KJ919057.1;  8:KJ918952.1;  9:KJ919896.1;  10:KJ919162.1;  11:KJ919267.1	-	11	2014/10/13	2014/10/13	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.397	32.3875	vertebrates, human	 1:KJ919370.1;  2:KJ919478.1;  3:KJ919582.1;  4:KJ919688.1;  5:KJ918848.1;  6:KJ919792.1;  7:KJ919058.1;  8:KJ918953.1;  9:KJ919897.1;  10:KJ919163.1;  11:KJ919268.1	-	11	2014/10/13	2014/10/13	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	45.9	bacteria	KX266485.1	-	11	2016/07/12	2016/07/12	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	35.852	54.5	-	AP013464.1	-	50	2013/11/06	2015/10/30	Complete Genome
uncultured Mediterranean phage uvMED	1407671		0	Other	Other	34.958	54.9	-	AP013465.1	-	51	2013/11/06	2015/10/30	Complete Genome
Enterobacteria phage ID11	310953		0	ssDNA viruses	Microviridae	5.577	46	bacteria	KX266486.1	-	11	2016/07/12	2016/07/12	Complete Genome
Human rotavirus A	10941		0	dsRNA viruses	Reoviridae	17.388	32.4218	vertebrates, human	 1:KJ919371.1;  2:KJ919479.1;  3:KJ919583.1;  4:KJ919689.1;  5:KJ918849.1;  6:KJ919793.1;  7:KJ919059.1;  8:KJ918954.1;  9:KJ919898.1;  10:KJ919164.1;  11:KJ919269.1	-	11	2014/10/13	2014/10/13	Complete Genome
